name,wanted,not wanted
laryngeal_cancer,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, collard greens, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
sarcoma,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
retinoblastoma,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
neuroblastoma,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
wilms_tumor,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
hodgkins_lymphoma,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
non_hodgkins_lymphoma,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins A, vitamins C, vitamins D, vitamins E, magnesium, zinc, selenium, omega-3 fatty acids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, cruciferous vegetables, broccoli, cauliflower, Brussels sprouts, carrots, sweet potatoes, pumpkin, bell peppers, tomatoes, berries, strawberries, blueberries, blackberries, raspberries, apples, pears, citrus fruits, oranges, lemons, grapefruit, nuts, almonds, walnuts, pecans, seeds, chia seeds, flaxseeds, legumes, lentils, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, trout, poultry, skinless chicken, herbs, turmeric, garlic, onions, ginger, green tea, peppermint tea, cinnamon, natural sweetness, mildly sweet, savory, spicy (mild)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, chocolates, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked foods, pickled foods, grilled meats at high temperatures, charred foods, excess alcohol, high-fat dairy products"
aneurysm,"fiber, antioxidants, omega-3 fatty acids, lean protein, healthy fats, vitamins C, vitamins E, vitamins K, vitamins B6, folate, magnesium, potassium, calcium, polyphenols, flavonoids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, arugula, cruciferous vegetables, broccoli, cauliflower, berries, blueberries, raspberries, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, black beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, sardines, mackerel, poultry, skinless chicken, herbs, garlic, ginger, natural sweetness, mildly sweet, savory, spicy, turmeric, cinnamon, dark chocolate (in moderation)","saturated fats, trans fats, simple sugars, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, red meat, overly sweet, artificial sweeteners, salty, oily, greasy, smoked meats, cured meats, fast food, energy drinks"
dvt,"fiber, omega-3 fatty acids, lean protein, healthy fats, vitamins C, vitamins E, vitamins K, folate, magnesium, potassium, calcium, polyphenols, flavonoids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, arugula, cruciferous vegetables, broccoli, cauliflower, berries, blueberries, raspberries, pomegranate, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, black beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, garlic, ginger, turmeric, natural sweetness, mildly sweet, savory, spicy, cinnamon, dark chocolate (in moderation)","saturated fats, trans fats, simple sugars, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked meats, cured meats, fast food, energy drinks"
pulmonary_embolism,"fiber, omega-3 fatty acids, lean protein, healthy fats, vitamins C, vitamins E, vitamins K, folate, magnesium, potassium, calcium, polyphenols, flavonoids, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, arugula, cruciferous vegetables, broccoli, cauliflower, berries, blueberries, raspberries, pomegranate, citrus fruits, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, black beans, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, garlic, ginger, turmeric, natural sweetness, mildly sweet, savory, spicy, cinnamon, dark chocolate (in moderation)","saturated fats, trans fats, simple sugars, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices, fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked meats, cured meats, fast food, energy drinks"
hemorrhoids,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins C, vitamins E, vitamins K, magnesium, zinc, potassium, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, lettuce, cruciferous vegetables, broccoli, cauliflower, carrots, sweet potatoes, berries, strawberries, blueberries, bananas, apples, pears, citrus fruits, prunes, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, black beans, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, poultry, skinless chicken, hydrating foods, cucumbers, watermelon, natural sweetness, mildly sweet, savory, spicy, cinnamon, turmeric, ginger, garlic","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices (with added sugar), fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, spicy (in excess), smoked meats, cured meats, fast food, energy drinks, low-fiber foods, ice cream, cheese (in excess)"
varicose_veins,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins C, vitamins E, vitamins K, vitamins A, magnesium, zinc, potassium, flavonoids, polyphenols, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, lettuce, cruciferous vegetables, broccoli, cauliflower, asparagus, beets, berries, blueberries, raspberries, strawberries, citrus fruits, oranges, grapefruit, lemons, grapes, pomegranates, apples, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, legumes, lentils, black beans, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, hydrating foods, cucumbers, watermelon, natural sweetness, mildly sweet, savory, spicy, turmeric, cinnamon, garlic, ginger, dark chocolate (in moderation)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices (with added sugar), fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked meats, cured meats, fast food, energy drinks, low-fiber foods, ice cream, cheese (in excess)"
carpal_tunnel,"fiber, complex carbohydrates, lean protein, healthy fats, vitamins B6, vitamins B12, vitamins C, vitamins D, vitamins E, magnesium, zinc, potassium, omega-3 fatty acids, antioxidants, whole grains, oats, quinoa, brown rice, leafy green vegetables, spinach, kale, lettuce, cruciferous vegetables, broccoli, cauliflower, sweet potatoes, carrots, berries, blueberries, strawberries, cherries, oranges, bananas, pineapple, nuts, almonds, walnuts, seeds, chia seeds, flaxseeds, sunflower seeds, legumes, lentils, black beans, chickpeas, low-fat dairy, Greek yogurt, skim milk, fish, salmon, mackerel, sardines, poultry, skinless chicken, turmeric, ginger, garlic, natural sweetness, mildly sweet, savory, spicy, cinnamon, dark chocolate (in moderation)","simple sugars, saturated fats, trans fats, refined carbohydrates, high sodium, sugar, white sugar, brown sugar, syrups, refined grains, white bread, white rice, processed foods, chips, frozen dinners, sugary beverages, sodas, fruit juices (with added sugar), fried foods, fried chicken, fries, high-fat meats, bacon, sausages, full-fat dairy, cream, butter, baked goods, pastries, cakes, candy, alcohol, overly sweet, artificial sweeteners, salty, oily, greasy, smoked meats, cured meats, fast food, energy drinks, low-fiber foods, ice cream, cheese (in excess)"
